raceId,max,UQ,median,LQ,min
1,185713,94441,91080,89832,87706
2,178640,120168,100985,99707,96641
3,238709,128383,118701,116548,112592
4,129178,97491,96664,96040,94556
5,146562,86021,84938,84155,82762
6,116114,78690,77254,76612,75154
7,128919,90207,89390,88762,87579
8,133970,83996,83075,82506,80735
9,167473,97546,96761,95843,93365
10,151967,84906,84243,83698,81931
11,217180,101836,100862,100111,98683
12,187956,111065,109221,108502,107263
13,168376,87762,86613,85881,84739
14,196823,113659,111130,109854,108240
15,180240,96062,94992,94302,92569
16,125888,76034,75374,74868,73733
17,132915,103386,102453,101595,100279
18,209104,93080,90692,89514,87418
19,170790,99474,98081,97144,95366
20,143838,97283,96057,95238,93193
21,162313,86235,84216,83264,81670
22,151878,89615,88810,88096,86506
23,194914,101491,94381,88779,76689
24,158997,81342,80334,79606,77387
25,110413,79479,78818,78287,76630
26,150481,102569,98125,95937,92150
27,151139,79522,78315,77655,75987
28,161345,84787,83620,82838,81195
29,143067,102227,101109,100277,98708
30,181187,114277,111504,110022,107930
31,322148,97771,96612,94868,88047
32,232983,112149,109863,108345,105599
33,129693,81563,80535,80019,78426
34,159612,99469,98590,97836,96325
35,136456,80288,76288,75225,73736
36,122011,90429,89261,88319,85235
37,136192,100352,99351,98514,96701
38,405395,97796,96558,95640,94067
39,160680,85804,84723,84102,82680
40,104480,79688,78232,77590,75284
41,155301,87806,80224,78836,76367
42,109783,76462,75355,74551,73117
43,139632,79045,78198,77617,76099
44,632179,85014,84011,83062,80638
45,1453884,109591,96690,95036,92853
46,111147,83623,82548,81780,80047
47,313638,91133,90184,89383,87295
48,154787,86834,85736,84984,82871
49,157259,112821,111424,110049,108036
50,976243,131853,96454,92582,88193
51,191891,109935,106166,101278,97454
52,262997,76269,75079,74293,72445
53,755976,96586,94831,93936,92408
54,676839,100231,97828,96616,94803
55,230664,99643,91323,88867,86045
56,809130,88180,87162,86472,84569
57,153933,96751,95268,94472,92099
58,329766,80711,79317,78437,76648
59,136067,80226,79001,78199,75143
60,153036,86464,84519,83418,81599
61,250136,81101,79109,78094,75841
62,133839,75878,74571,73996,72719
63,360120,80450,79476,78728,77111
64,297225,79649,78700,78004,76357
65,164124,101351,96738,91949,83516
66,1528859,92651,91156,90085,88005
67,157809,86264,85249,84259,82559
68,170744,109073,106246,103062,97586
69,131517,97372,95859,94824,92676
70,133061,76207,74808,74142,72162
71,120297,90570,88936,87779,85683
72,159036,100751,98413,97533,95483
73,136560,97002,94492,93646,91447
74,148366,85813,85089,84541,81858
75,391146,80035,78132,77409,75641
76,159701,82332,79461,78274,75842
77,136132,95144,93490,92544,90711
78,1921214,79200,77354,76396,74384
79,113758,75048,74299,73258,71497
80,510293,80713,79148,78377,76423
81,305023,85882,84159,83058,80502
82,846799,79209,77785,77122,74873
83,585712,85889,84127,83217,81219
84,1617815,90337,88014,87081,84770
85,130507,85974,84520,83824,81504
