year,driverId,driverChampionshipWins,driverChampionshipPoints,constructorId,constructorChampionshipWins,constructorChampionshipPoints
2008,1,5,98.0,6,8,172.0
2007,8,6,110.0,4,8,206.0
2006,4,7,134.0,4,8,191.0
2005,4,7,133.0,6,15,262.0
2004,30,13,148.0,6,8,158.0
2003,30,6,93.0,6,15,221.0
2002,30,11,144.0,6,9,179.0
2001,30,9,123.0,6,10,170.0
2000,30,9,108.0,6,6,128.0
1999,57,5,76.0,1,9,156.0
1998,57,8,100.0,3,8,123.0
1997,35,7,81.0,3,12,175.0
1996,71,8,97.0,22,11,147.0
1995,30,9,102.0,3,7,118.0
1994,30,8,92.0,3,10,168.0
1993,117,7,99.0,3,10,164.0
1992,95,9,108.0,1,6,121.0
1990,102,6,78.0,6,9,204.0
1991,102,7,96.0,1,8,139.0
1989,117,4,76.0,1,10,141.0
1988,102,8,90.0,1,15,199.0
1987,137,3,73.0,3,9,137.0
1986,117,4,72.0,3,9,141.0
1985,117,5,73.0,1,6,90.0
1984,182,5,72.0,1,12,143.5
1983,137,3,59.0,6,4,89.0
1982,177,1,44.0,6,3,74.0
1981,137,3,50.0,3,4,95.0
1980,178,5,67.0,3,6,120.0
1979,222,3,51.0,6,6,113.0
1978,207,6,64.0,32,8,86.0
1977,182,3,72.0,6,4,95.0
1976,231,6,69.0,6,6,83.0
1975,182,5,64.5,6,6,72.5
1974,224,3,55.0,1,4,73.0
1973,328,5,71.0,32,7,92.0
1972,224,5,61.0,32,5,61.0
1971,328,6,62.0,25,7,73.0
2009,18,6,95.0,23,8,172.0
1970,358,5,45.0,196,6,66.0
1969,328,6,63.0,180,5,62.0
1968,289,3,48.0,191,4,63.0
1967,304,2,51.0,6,5,45.0
1966,356,4,42.0,170,6,48.0
1965,373,6,54.0,118,6,48.0
1964,341,2,40.0,32,6,59.0
1962,289,4,42.0,191,4,42.0
1961,403,2,34.0,172,6,54.0
1960,356,5,43.0,6,3,45.0
1958,578,1,42.0,172,7,54.0
1957,579,4,40.0,66,4,42.0
1956,579,3,30.0,170,5,40.0
1955,579,4,40.0,9,9,498.0
1953,647,5,34.5,9,12,650.0
1952,647,6,36.0,9,7,460.0
1951,579,3,31.0,9,13,596.0
1950,642,3,30.0,131,16,701.0
1954,579,6,42.0,131,16,703.0
1963,373,7,54.0,131,19,765.0
1959,356,2,31.0,131,12,668.0
2010,20,5,256.0,131,11,655.0
2011,20,11,392.0,131,15,739.0
2012,20,5,281.0,131,13,573.0
2013,20,13,397.0,131,9,613.5
2014,1,11,384.0,9,17,759.0
