resultId,raceId,driverId,constructorId,position,points,normalisedPoints,laps,rank
1,18,1,1,1,10.0,25,58,2
2,18,2,2,2,8.0,18,58,3
3,18,3,3,3,6.0,15,58,5
4,18,4,4,4,5.0,12,58,7
5,18,5,1,5,4.0,11,58,1
6,18,6,3,6,3.0,8,57,14
7,18,7,5,7,2.0,6,55,12
8,18,8,6,8,1.0,4,53,4
9,18,9,2,0,0.0,0,47,9
10,18,10,7,0,0.0,0,43,13
11,18,11,8,0,0.0,0,32,15
12,18,12,4,0,0.0,0,30,16
13,18,13,6,0,0.0,0,29,6
14,18,14,9,0,0.0,0,25,11
15,18,15,7,0,0.0,0,19,10
16,18,16,10,0,0.0,0,8,17
17,18,17,9,0,0.0,0,0,0
18,18,18,11,0,0.0,0,0,0
19,18,19,8,0,0.0,0,0,0
20,18,20,5,0,0.0,0,0,0
21,18,21,10,0,0.0,0,0,0
22,18,22,11,0,0.0,0,58,8
23,19,8,6,1,10.0,25,56,2
24,19,9,2,2,8.0,18,56,6
25,19,5,1,3,6.0,15,56,7
26,19,15,7,4,5.0,12,56,8
27,19,1,1,5,4.0,10,56,3
28,19,2,2,6,3.0,9,56,1
29,19,17,9,7,2.0,6,56,12
30,19,4,4,8,1.0,4,56,10
31,19,14,9,9,0.0,2,56,9
32,19,18,11,10,0.0,1,56,4
33,19,12,4,11,0.0,0,56,15
34,19,21,10,12,0.0,0,55,16
35,19,22,11,13,0.0,0,55,11
36,19,3,3,14,0.0,0,55,13
37,19,19,8,15,0.0,0,55,18
38,19,11,8,16,0.0,0,54,19
39,19,6,3,17,0.0,0,54,17
40,19,20,5,0,0.0,0,39,14
41,19,13,6,0,0.0,0,30,5
42,19,16,10,0,0.0,0,5,20
43,19,10,7,0,0.0,0,1,0
44,19,7,5,0,0.0,0,0,0
45,20,13,6,1,10.0,25,57,3
46,20,8,6,2,8.0,18,57,4
47,20,9,2,3,6.0,15,57,5
48,20,2,2,4,5.0,12,57,2
49,20,5,1,5,4.0,11,57,1
50,20,15,7,6,3.0,8,57,7
51,20,17,9,7,2.0,6,57,8
52,20,3,3,8,1.0,4,57,6
53,20,10,7,9,0.0,2,57,9
54,20,4,4,10,0.0,1,57,13
55,20,22,11,11,0.0,0,57,10
56,20,21,10,12,0.0,0,56,11
57,20,1,1,13,0.0,0,56,19
58,20,6,3,14,0.0,0,56,17
59,20,7,5,15,0.0,0,56,15
60,20,19,8,16,0.0,0,56,14
61,20,11,8,17,0.0,0,56,20
62,20,14,9,18,0.0,0,56,16
63,20,16,10,19,0.0,0,56,18
64,20,12,4,0,0.0,0,40,12
65,20,18,11,0,0.0,0,19,21
66,20,20,5,0,0.0,0,0,0
67,21,8,6,1,10.0,26,66,1
68,21,13,6,2,8.0,18,66,2
69,21,1,1,3,6.0,15,66,3
70,21,9,2,4,5.0,12,66,4
71,21,17,9,5,4.0,10,66,8
72,21,18,11,6,3.0,8,66,5
73,21,6,3,7,2.0,6,66,15
74,21,15,7,8,1.0,4,66,10
75,21,2,2,9,0.0,2,66,7
76,21,21,10,10,0.0,1,65,14
77,21,10,7,11,0.0,0,65,12
78,21,14,9,12,0.0,0,65,11
79,21,11,8,13,0.0,0,65,17
80,21,3,3,0,0.0,0,41,13
81,21,4,4,0,0.0,0,34,9
82,21,22,11,0,0.0,0,34,16
