qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,fastestLap
1,18,1,1,22,1,86572,85187,86714,85187
2,18,9,2,4,2,86103,85315,86869,85315
3,18,5,1,23,3,85664,85452,87079,85452
4,18,13,6,2,4,85994,85691,87178,85691
5,18,2,2,3,5,85960,85518,87236,85518
6,18,15,7,11,6,86427,86101,88527,86101
7,18,3,3,7,7,86295,86059,88687,86059
8,18,14,9,9,8,86381,86063,89041,86063
9,18,10,7,12,9,86919,86164,89593,86164
10,18,20,5,15,10,86702,85842,0,85842
11,18,22,11,17,11,86369,86173,0,86173
12,18,4,4,5,12,86907,86188,0,86188
13,18,18,11,16,13,86712,86259,0,86259
14,18,6,3,8,14,86891,86413,0,86413
15,18,17,9,10,15,86914,0,0,86914
16,18,8,6,1,16,86140,0,0,86140
17,18,21,10,21,17,87207,0,0,87207
18,18,7,5,14,18,87446,0,0,87446
19,18,16,10,20,19,87859,0,0,87859
20,18,11,8,18,20,88208,0,0,88208
21,18,12,4,6,21,88330,0,0,88330
22,18,19,8,19,22,89059,0,0,89059
23,19,13,6,2,1,95347,94412,95748,94412
24,19,8,6,1,2,95645,94188,96230,94188
25,19,5,1,23,3,95227,94759,96613,94759
26,19,1,1,22,4,95392,94627,96709,94627
27,19,15,7,11,5,95205,94960,96711,94960
28,19,9,2,4,6,95794,94811,96727,94811
29,19,2,2,3,7,95729,94648,96753,94648
30,19,17,9,10,8,95440,94967,97009,94967
31,19,4,4,5,9,95983,95140,98450,95140
32,19,10,7,12,10,95891,95000,99656,95000
33,19,18,11,16,11,95847,95208,0,95208
34,19,14,9,9,12,96058,95408,0,95408
35,19,12,4,6,13,96074,95562,0,95562
36,19,22,11,17,14,96198,95622,0,95622
37,19,20,5,15,15,96111,95648,0,95648
38,19,3,3,7,16,95843,95670,0,95670
39,19,21,10,21,17,96240,0,0,96240
40,19,6,3,8,18,96388,0,0,96388
41,19,7,5,14,19,96677,0,0,96677
42,19,11,8,18,20,97087,0,0,97087
43,19,16,10,20,21,97101,0,0,97101
44,19,19,8,19,22,97481,0,0,97481
45,20,9,2,4,1,92893,91745,93096,91745
46,20,13,6,2,2,91937,91188,93123,91188
47,20,1,1,22,3,92750,91922,93292,91922
48,20,8,6,1,4,92652,91933,93418,91933
49,20,5,1,23,5,93057,91718,93488,91718
50,20,2,2,3,6,93137,91909,93737,91909
51,20,15,7,11,7,92493,92159,93994,92159
52,20,3,3,7,8,92903,92185,94015,92185
53,20,18,11,16,9,92793,92362,95057,92362
54,20,4,4,5,10,92947,92345,95115,92345
55,20,17,9,10,11,93194,92371,0,92371
56,20,22,11,17,12,92944,92508,0,92508
57,20,10,7,12,13,92800,92528,0,92528
58,20,12,4,6,14,92975,92790,0,92790
59,20,7,5,14,15,93415,92915,0,92915
60,20,6,3,8,16,93386,92943,0,92943
61,20,14,9,9,17,93433,0,0,93433
62,20,21,10,21,18,93501,0,0,93501
63,20,20,5,15,19,93562,0,0,93562
64,20,16,10,20,20,93845,0,0,93845
65,20,19,8,19,21,94140,0,0,94140
66,20,11,8,18,22,95725,0,0,95725
67,21,8,6,1,1,80701,80784,81813,80701
68,21,4,4,5,2,81347,80804,81904,80804
69,21,13,6,2,3,81528,80584,82058,80584
70,21,9,2,4,4,81423,80597,82065,80597
71,21,1,1,22,5,81366,80825,82096,80825
72,21,5,1,23,6,81430,80817,82231,80817
73,21,17,9,10,7,81494,80984,82429,80984
74,21,15,7,11,8,81158,80907,82529,80907
75,21,2,2,3,9,81466,80815,82542,80815
76,21,12,4,6,10,81409,80894,82699,80894
77,21,22,11,17,11,81548,81049,0,81049
78,21,6,3,8,12,81690,81117,0,81117
79,21,18,11,16,13,81757,81211,0,81211
80,21,10,7,12,14,81427,81230,0,81230
81,21,3,3,7,15,81472,81349,0,81349
82,21,7,5,14,16,81540,81724,0,81540
83,21,14,9,9,17,81810,0,0,81810
84,21,20,5,15,18,82108,0,0,82108
85,21,21,10,21,19,82516,0,0,82516
86,21,16,10,20,20,83224,0,0,83224
87,21,19,8,19,21,83318,0,0,83318
88,21,11,8,18,22,83496,0,0,83496
89,22,13,6,2,1,85994,86192,87617,85994
90,22,5,1,23,2,86736,86290,87808,86290
91,22,1,1,22,3,86192,86477,87923,86192
92,22,8,6,1,4,86457,86050,87936,86050
93,22,9,2,4,5,86761,86129,88390,86129
94,22,17,9,10,6,86773,86466,88417,86466
95,22,4,4,5,7,86836,86522,88422,86522
96,22,15,7,11,8,86695,86822,88836,86695
97,22,2,2,3,9,87107,87607,88882,87107
98,22,14,9,9,10,86939,86520,89959,86520
99,22,3,3,7,11,87367,87012,0,87012
100,22,22,11,17,12,87355,87219,0,87219
101,22,18,11,16,13,87428,87298,0,87298
102,22,20,5,15,14,87442,87412,0,87412
103,22,10,7,12,15,86614,87806,0,86614
104,22,6,3,8,16,87547,0,0,87547
105,22,12,4,6,17,87568,0,0,87568
106,22,7,5,14,18,87621,0,0,87621
107,22,21,10,21,19,87807,0,0,87807
108,22,16,10,20,20,88325,0,0,88325
109,23,13,6,2,1,75190,75110,75787,75110
110,23,8,6,1,2,75717,75404,75815,75404
111,23,1,1,22,3,75582,75322,75839,75322
112,23,5,1,23,4,75295,75389,76165,75295
113,23,9,2,4,5,75977,75483,76171,75483
114,23,3,3,7,6,75935,75287,76548,75287
115,23,4,4,5,7,76646,75827,76852,75827
116,23,15,7,11,8,76306,75598,77203,75598
117,23,17,9,10,9,76074,75745,77343,75745
118,23,14,9,9,10,76086,75839,0,75839
119,23,10,7,12,11,76285,75907,0,75907
120,23,18,11,16,12,76259,76101,0,76101
121,23,2,2,3,13,76650,76455,0,76455
122,23,6,3,8,14,76756,76479,0,76479
123,23,22,11,17,15,76208,76537,0,76208
124,23,7,5,14,16,76806,0,0,76806
