raceId,max,UQ,median,mean,LQ,min
1,101354.5,94441,91080,97427.74527363184,89832,82918.5
2,150859.5,120168,101005,109763.1570397112,99707,69015.5
3,146135.5,128383,118722,128685.07917888563,116548,98795.5
4,99667.5,97491,96664,97834.82488888889,96040,93863.5
5,88820.0,86021,84942,89878.92675159236,84155,81356.0
6,81807.0,78690,77254,78432.49882537196,76612,73495.0
7,92374.5,90207,89396,90473.84587155964,88762,86594.5
8,86231.0,83996,83077,84317.45811518324,82506,80271.0
9,100100.5,97546,96766,97746.69053934571,95843,93288.5
10,86718.0,84906,84246,85345.85456110154,83698,81886.0
11,104423.5,101836,100862,102151.67741935483,100111,97523.5
12,114909.5,111065,109227,115552.62745098039,108502,104657.5
13,90583.5,87762,86617,88049.08351893096,85881,83059.5
14,119366.5,113659,111138,115520.51734104047,109854,104146.5
15,98702.0,96062,94992,100347.66911764706,94302,91662.0
16,77783.0,76034,75376,79104.38504672897,74868,73119.0
17,106072.5,103386,102453,103623.0887804878,101595,98908.5
18,98429.0,93080,90714,98557.18230563002,89514,84165.0
19,102969.0,99474,98091,99586.00392541707,97144,93649.0
20,100350.5,97283,96057,97601.39982347749,95238,92170.5
21,90691.5,86235,84220,91046.7624750499,83264,78807.5
22,91893.5,89615,88810,91201.18027888447,88096,85817.5
23,120559.0,101491,94382,96772.89366692728,88779,69711.0
24,83946.0,81342,80334,83696.95350877193,79606,77002.0
25,81267.0,79479,78818,79683.93134328358,78287,76499.0
26,112517.0,102569,98125,100905.51908396947,95937,85989.0
27,82322.5,79522,78318,82439.6207442597,77655,74854.5
28,87710.5,84787,83620,84883.7102102102,82838,79914.5
29,105152.0,102227,101109,102130.72640610105,100277,97352.0
30,120659.5,114277,111504,114505.9312039312,110022,103639.5
31,102125.5,97771,96612,99650.07403751234,94868,90513.5
32,117855.0,112149,109867,115775.10131332083,108345,102639.0
33,83879.0,81563,80535,81808.43399810066,80019,77703.0
34,101918.5,99469,98590,99831.40967423495,97836,95386.5
35,87882.5,80288,76289,80924.80726698262,75225,67630.5
36,93594.0,90429,89270,90397.86964129483,88319,85154.0
37,103109.0,100352,99351,100573.28847926267,98514,95757.0
38,101030.0,97796,96566,100550.41586073501,95640,92406.0
39,88357.0,85804,84723,86263.06896551725,84102,81549.0
40,82835.0,79688,78232,79119.62926509186,77590,74443.0
41,101261.0,87806,80224,89093.85738255034,78836,65381.0
42,79328.5,76462,75355,76220.01708074534,74551,71684.5
43,81187.0,79045,78198,79237.36205533597,77617,75475.0
44,87942.0,85014,84011,85536.03333333334,83062,80134.0
45,131423.5,109591,96690,133666.7534562212,95036,73203.5
46,86387.5,83623,82549,83614.28884026258,81780,79015.5
47,93758.0,91133,90184,91440.12458745875,89383,86758.0
48,89609.0,86834,85752,90796.26836158193,84984,82209.0
49,116979.0,112821,111424,112448.35058823529,110049,105891.0
50,190759.5,131853,96468,111066.22188217292,92582,33675.5
51,122920.5,109935,106195,107368.81519699813,101278,88292.5
52,79233.0,76269,75079,76832.6023890785,74293,71329.0
53,100561.0,96586,94831,97186.3390909091,93936,89961.0
54,105653.5,100231,97828,100348.58403361344,96616,91193.5
55,115807.0,99643,91355,101650.96170678338,88867,72703.0
56,90742.0,88180,87167,90413.66928446772,86472,83910.0
57,100169.5,96751,95269,97868.3294232649,94472,91053.5
58,84122.0,80711,79317,80710.33651551313,78437,75026.0
59,83266.5,80226,79003,81079.02310654685,78199,75158.5
60,91033.0,86464,84523,87877.31441860466,83418,78849.0
61,85611.5,81101,79111,82999.8807495741,78094,73583.5
62,78701.0,75878,74573,79691.13350125945,73996,71173.0
63,83033.0,80450,79476,80710.2971295578,78728,76145.0
64,82116.5,79649,78700,79954.0945821855,78004,75536.5
65,115454.0,101351,96740,99241.84244080145,91949,77846.0
66,96500.0,92651,91156,95027.45337301587,90085,86236.0
67,89271.5,86264,85250,86428.36257309941,84259,81251.5
68,118089.5,109073,106246,107412.17422222222,103062,94045.5
69,101194.0,97372,95859,97062.21722846442,94824,91002.0
70,79304.5,76207,74808,79271.36274509804,74142,71044.5
71,94756.5,90570,88936,90332.47253787878,87779,83592.5
72,105578.0,100751,98414,100239.81859931114,97533,92706.0
73,102036.0,97002,94499,96346.62232779097,93646,88612.0
74,87721.0,85813,85089,86257.2456852792,84541,82633.0
75,83974.0,80035,78132,81753.06625891947,77409,73470.0
76,88419.0,82332,79461,82586.50537634408,78274,72187.0
77,99044.0,95144,93490,95025.27121771217,92544,88644.0
78,83406.0,79200,77354,81664.07834507042,76396,72190.0
79,77733.0,75048,74299,75122.35879629629,73258,70573.0
80,84217.0,80713,79148,80945.98979591837,78377,74873.0
81,90118.0,85882,84159,86659.92850838482,83058,78822.0
82,82339.5,79209,77785,79924.06901960785,77122,73991.5
83,89897.0,85889,84130,86576.21522309711,83217,79209.0
84,95221.0,90337,88015,91744.70935960591,87081,82197.0
85,89199.0,85974,84520,86136.43732057416,83824,80599.0
86,131560.5,123606,120216,126147.69726027397,118303,110348.5
87,79018.5,76086,74878,78639.2065767285,74131,71198.5
88,104031.5,97991,95326,103227.44554455446,93964,87923.5
89,109001.0,100919,97105,108572.36847389558,95531,87449.0
90,94752.5,90083,88097,90808.45714285714,86970,82300.5
91,107125.0,100807,97825,100015.54391217565,96595,90277.0
92,99049.0,95056,93487,95387.92322274881,92394,88401.0
93,88286.5,85147,83808,85242.71164510166,83054,79914.5
94,83728.0,81028,79951,81294.19349005425,79228,76528.0
95,93833.0,83804,79164,85515.9226519337,77118,67089.0
96,99182.0,94967,93271,94672.68388429753,92157,87942.0
97,80906.0,77600,76450,77728.34835355286,75396,72090.0
