year,era
2025,Turbo Hybrid V6s
2024,Turbo Hybrid V6s
2023,Turbo Hybrid V6s
2022,Turbo Hybrid V6s
2021,Turbo Hybrid V6s
2020,Turbo Hybrid V6s
2019,Turbo Hybrid V6s
2018,Turbo Hybrid V6s
2017,Turbo Hybrid V6s
2016,Turbo Hybrid V6s
2015,Turbo Hybrid V6s
2014,Turbo Hybrid V6s
2013,Hybrid V8s
2012,Hybrid V8s
2011,Hybrid V8s
2010,Hybrid V8s
2009,Hybrid V8s
2008,Hybrid V8s
2007,Hybrid V8s
2006,Hybrid V8s
2005,V8s
2004,V8s
2003,V8s
2002,V8s
2001,V8s
2000,V8s
1999,V8s
1998,V8s
1997,V8s
1996,V8s
1995,V8s
1994,V10s
1993,V10s
1992,V10s
1991,V10s
1990,V10s
1989,V10s
1988,NAs
1987,NAs
1986,Sub Eras
1985,Sub Eras
1984,Sub Eras
1983,Sub Eras
1982,Sub Eras
1981,Sub Eras
1980,Sub Eras
1979,Sub Eras
1978,Sub Eras
1977,Sub Eras
1976,Sub Eras
1975,Sub Eras
1974,Sub Eras
1973,Sub Eras
1972,Sub Eras
1971,Sub Eras
1970,Sub Eras
1969,Sub Eras
1968,Sub Eras
1967,Sub Eras
1966,Sub Eras
1965,Rear Engines
1964,Rear Engines
1963,Rear Engines
1962,Rear Engines
1961,Rear Engines
1960,Mid Engines
1959,Mid Engines
1958,Mid Engines
1957,Front Engines
1956,Front Engines
1955,Front Engines
1954,Front Engines
1953,Front Engines
1952,Front Engines
1951,Front Engines
1950,Front Engines
